status,run_name,model_name,graph_type,horizon,seed,mae,rmse,masked_mape,is_synthetic_data
success,metr_la_5090_graph_wavenet_full_adaptive_h3_s43_20260609_184835,graph_wavenet_full,adaptive,3.0,43.0,2.9814517430051595,7.960610290063194,6.597652729968552,False
success,metr_la_5090_graph_wavenet_full_adaptive_h3_s44_20260609_190227,graph_wavenet_full,adaptive,3.0,44.0,2.9380971861763596,7.951746145140999,6.609929795220151,False
success,metr_la_5090_graph_wavenet_full_adaptive_h6_s42_20260609_192059,graph_wavenet_full,adaptive,6.0,42.0,3.613543948985242,9.879902333152268,7.80049232014587,False
success,metr_la_5090_graph_wavenet_full_adaptive_h6_s43_20260609_194507,graph_wavenet_full,adaptive,6.0,43.0,3.569771130708587,9.525983444552182,7.843163431161932,False
success,metr_la_5090_graph_wavenet_full_adaptive_h6_s44_20260609_200123,graph_wavenet_full,adaptive,6.0,44.0,3.5811050102767172,9.648095966901467,7.903034663172728,False
success,metr_la_5090_graph_wavenet_full_adaptive_h12_s42_20260609_201608,graph_wavenet_full,adaptive,12.0,42.0,4.497513626255563,11.84580389030431,9.485422934784799,False
success,metr_la_5090_graph_wavenet_full_adaptive_h12_s43_20260609_203455,graph_wavenet_full,adaptive,12.0,43.0,4.5762964307370835,11.897309371353561,9.812086879575151,False
success,metr_la_5090_graph_wavenet_full_adaptive_h12_s44_20260609_205250,graph_wavenet_full,adaptive,12.0,44.0,4.483594962517085,11.79763942641214,9.598511155020356,False
success,metr_la_5090_graph_wavenet_lite_identity_h3_s42_20260609_211357,graph_wavenet_lite,identity,3.0,42.0,3.136827510564922,8.104332512614562,7.363556249034062,False
success,metr_la_5090_graph_wavenet_lite_identity_h3_s43_20260609_212245,graph_wavenet_lite,identity,3.0,43.0,3.1264107657547444,8.095906343896605,7.363722310623485,False
success,metr_la_5090_graph_wavenet_lite_identity_h3_s44_20260609_213141,graph_wavenet_lite,identity,3.0,44.0,3.1423604752595407,8.14821754866238,7.4208507538729656,False
success,metr_la_5090_graph_wavenet_lite_identity_h6_s42,graph_wavenet_lite,identity,6.0,42.0,3.8147056743378274,9.844494948654658,8.90559699288494,False
success,metr_la_5090_graph_wavenet_lite_identity_h6_s43,graph_wavenet_lite,identity,6.0,43.0,3.7891430739084795,9.82498963763477,8.88585432620582,False
success,metr_la_5090_graph_wavenet_lite_identity_h6_s44,graph_wavenet_lite,identity,6.0,44.0,3.8174309172770187,9.818935893899276,8.933354872567358,False
success,metr_la_5090_graph_wavenet_lite_identity_h12_s42,graph_wavenet_lite,identity,12.0,42.0,4.909785961296888,12.172796348391307,11.44358820015442,False
success,metr_la_5090_graph_wavenet_lite_identity_h12_s43,graph_wavenet_lite,identity,12.0,43.0,4.882639836972821,12.125960590889333,11.412829063786612,False
success,metr_la_5090_graph_wavenet_lite_identity_h12_s44,graph_wavenet_lite,identity,12.0,44.0,4.882689528299279,12.148868253607395,11.42124153365446,False
success,metr_la_5090_graph_wavenet_lite_physical_h3_s42,graph_wavenet_lite,physical,3.0,42.0,3.1208417666210724,8.089228274772367,7.280676445607708,False
success,metr_la_5090_graph_wavenet_lite_physical_h3_s43,graph_wavenet_lite,physical,3.0,43.0,3.1164225254168776,8.085883892015953,7.237893239430473,False
success,metr_la_5090_graph_wavenet_lite_physical_h3_s44,graph_wavenet_lite,physical,3.0,44.0,3.1163268686073127,8.074515788554168,7.287992101025277,False
success,metr_la_5090_graph_wavenet_lite_physical_h6_s42,graph_wavenet_lite,physical,6.0,42.0,3.798097917341351,9.791873883957741,8.768929546739281,False
success,metr_la_5090_graph_wavenet_lite_physical_h6_s43,graph_wavenet_lite,physical,6.0,43.0,3.8004640077385075,9.808189455332588,8.864002383976562,False
success,metr_la_5090_graph_wavenet_lite_physical_h6_s44,graph_wavenet_lite,physical,6.0,44.0,3.794927782339174,9.797817145352528,8.768766786649628,False
